X,Y
0,0.948717949
4.41,0.94017094
7.35,0.923076923
8.82,0.905982906
10.29,0.863247863
11.76,0.820512821
13.24,0.811965812
14.71,0.803418803
16.18,0.760683761
17.65,0.752136752
20.59,0.735042735
22.06,0.726495726
23.53,0.709401709
25,0.700854701
27.94,0.692307692
30.88,0.683760684
36.76,0.675213675
39.71,0.666666667
55.88,0.658119658
61.76,0.64957265
69.12,0.632478632
73.53,0.623931624
75,0.615384615
76.47,0.606837607
77.94,0.58974359
80.88,0.564102564
82.35,0.555555556
86.76,0.393162393
88.24,0.384615385
92.65,0.376068376
94.12,0.299145299
95.59,0.128205128
97.06,0.094017094
98.53,0.017094017
100,0.008547009
